group,sec,SCL_mean
vr_high,183,1.4363918190201124
vr_high,184,1.4351201911767324
vr_high,185,1.4291818055013816
vr_high,186,1.4242098500331244
vr_high,187,1.4187673300504686
vr_high,188,1.416147849957148
vr_high,189,1.4216284652551014
vr_high,190,1.4237902065118153
vr_high,191,1.4208782106637956
vr_high,192,1.4165929049253465
vr_high,193,1.4119769928356012
vr_high,194,1.4064582328001658
vr_high,195,1.4020076078673205
vr_high,196,1.3990702042977015
vr_high,197,1.3963616783420243
vr_high,198,1.3930300851662951
vr_high,199,1.390868366261323
vr_high,200,1.3906267431875072
vr_high,201,1.3904868697126709
vr_high,202,1.3920000555614633
vr_high,203,1.3890245281159876
vr_high,204,1.3822595961391928
vr_high,205,1.3774020505448183
vr_high,206,1.373981449007988
vr_high,207,1.3709422993163267
vr_high,208,1.367928575972716
vr_high,209,1.3655252501368524
vr_high,210,1.3621682249009608
vr_high,211,1.3580100893974303
vr_high,212,1.3539536774158478
vr_high,213,1.3483204714953902
vr_high,214,1.3432722106575967
vr_high,215,1.3391394786536697
vr_high,216,1.3342819601297375
vr_high,217,1.3306705887118975
vr_high,218,1.327745912472407
vr_high,219,1.3279748074710367
vr_high,220,1.3302890939017136
vr_high,221,1.3294371565183003
vr_high,222,1.3273898457487423
vr_high,223,1.3259910504023231
vr_high,224,1.3251137043039003
vr_high,225,1.3228756328423816
vr_high,226,1.319772932926814
vr_high,227,1.3162251551946003
vr_high,228,1.314266884326935
vr_high,229,1.3125883700946968
vr_high,230,1.3111769100030262
vr_high,231,1.3111260421574114
vr_high,232,1.3099307189385094
vr_high,233,1.3068788814047974
vr_high,234,1.3086718236406645
vr_high,235,1.3104393889506658
vr_high,236,1.3150807080169518
vr_high,237,1.3239946765204271
vr_high,238,1.3253934224446615
vr_high,239,1.3221254179875057
vr_low,0,2.593944564368576
vr_low,1,2.5792241625487806
vr_low,2,2.568971838243306
vr_low,3,2.56591043965891
vr_low,4,2.5708506140857934
vr_low,5,2.573625910654664
vr_low,6,2.578890335187316
vr_low,7,2.5978881103917955
vr_low,8,2.6387686144560574
vr_low,9,2.6799352218396963
vr_low,10,2.7201242988929155
vr_low,11,2.741821052134037
vr_low,12,2.741105764079839
vr_low,13,2.763083855714649
vr_low,14,2.7933782575652004
vr_low,15,2.800421365350485
vr_low,16,2.7920049127191304
vr_low,17,2.797531634289771
vr_low,18,2.8137302692979578
vr_low,19,2.8195097119547428
vr_low,20,2.805380601994693
vr_low,21,2.8056810085661708
vr_low,22,2.8139114852063356
vr_low,23,2.802724542655051
vr_low,24,2.795915102120489
vr_low,25,2.7900212028995157
vr_low,26,2.794517930038273
vr_low,27,2.8066681165248153
vr_low,28,2.803253841586411
vr_low,29,2.792825103458017
vr_low,30,2.790674504172057
vr_low,31,2.7879564341157677
vr_low,32,2.7753103263676167
vr_low,33,2.7716576604172585
vr_low,34,2.764724212419242
vr_low,35,2.7468327593058346
vr_low,36,2.732713171094656
vr_low,37,2.72873144056648
vr_low,38,2.722608675248921
vr_low,39,2.7180785961449145
vr_low,40,2.7156085091643036
vr_low,41,2.7230473736301066
vr_low,42,2.7266857722774147
vr_low,43,2.731549654714763
vr_low,44,2.7369428378529848
vr_low,45,2.733705016411841
vr_low,46,2.729661327134818
vr_low,47,2.7386547378264368
vr_low,48,2.7427508940920236
vr_low,49,2.7456358605995774
vr_low,50,2.7617582118138673
vr_low,51,2.774962221644819
vr_low,52,2.7774895530194046
vr_low,53,2.769807460904121
vr_low,54,2.766855756659061
vr_low,55,2.7710568117909133
vr_low,56,2.778352644387633
vr_low,57,2.7864209684543315
