subject_id,session_type,method,signal,epoch,duration_s,HR_est_bpm,peak_count,HR_mean,HR_std,Motion_mean,Motion_p95,PVA_mean,PVA_std,SCL_mean,SCL_slope_per_min,SCR_pos_area,SCR_mean
6,meditation,custom,MOTION,1,59.974999999999994,,,,,0.03722396132536231,0.0790279507637023,,,,,,
6,meditation,custom,MOTION,2,59.974999999999994,,,,,0.027513102497905468,0.093396671116352,,,,,,
6,meditation,custom,MOTION,3,59.974999999999994,,,,,0.02205598296908039,0.0790279507637023,,,,,,
6,meditation,custom,MOTION,4,56.39999999999998,,,,,0.021202931889507354,0.0790279507637023,,,,,,
6,meditation,custom,PVA,0,59.975,,,,,,,8.577085814873378,5.9145858523684085,,,,
6,meditation,custom,PVA,1,59.974999999999994,,,,,,,19.438868499596914,3.2655178248153107,,,,
6,meditation,custom,PVA,2,59.974999999999994,,,,,,,23.779598979949952,5.526663631996157,,,,
6,meditation,custom,PVA,3,59.974999999999994,,,,,,,20.763166464567185,4.589340804940615,,,,
6,meditation,custom,PVA,4,56.39999999999998,,,,,,,18.257955316637382,2.9593929135210613,,,,
6,meditation,custom,SCL,0,59.975,,,,,,,,,1.4991842643916606,-0.018889708030313868,,
6,meditation,custom,SCL,1,59.974999999999994,,,,,,,,,1.4257293936610222,-0.054354590763303755,,
6,meditation,custom,SCL,2,59.974999999999994,,,,,,,,,1.3562609996894996,-0.05346183505307437,,
6,meditation,custom,SCL,3,59.974999999999994,,,,,,,,,1.2859113881985347,-0.07502524410373139,,
6,meditation,custom,SCL,4,56.39999999999998,,,,,,,,,1.2107376900720659,-0.0758282808971704,,
6,meditation,custom,SCR,0,59.975,,,,,,,,,,,0.5410166430876406,-0.001763976017118675
6,meditation,custom,SCR,1,59.974999999999994,,,,,,,,,,,0.20776460146189446,-0.004714772740200375
6,meditation,custom,SCR,2,59.974999999999994,,,,,,,,,,,0.12946710696605743,-0.0019183409769872337
6,meditation,custom,SCR,3,59.974999999999994,,,,,,,,,,,0.015069150891485654,-0.0030255507393673166
6,meditation,custom,SCR,4,56.39999999999998,,,,,,,,,,,0.007842902980200846,-0.0033587017717412533
6,meditation,custom,U_15_Temp       ,0,59.975,,,,,,,,,,,,
6,meditation,custom,U_15_Temp       ,1,59.974999999999994,,,,,,,,,,,,
6,meditation,custom,U_15_Temp       ,2,59.974999999999994,,,,,,,,,,,,
6,meditation,custom,U_15_Temp       ,3,59.974999999999994,,,,,,,,,,,,
6,meditation,custom,U_15_Temp       ,4,56.39999999999998,,,,,,,,,,,,
9,meditation,custom,BVP,0,59.975,235.09795748228427,235.0,,,,,,,,,,
9,meditation,custom,BVP,1,59.974999999999994,208.08670279283038,208.0,,,,,,,,,,
9,meditation,custom,BVP,2,59.974999999999994,162.06752813672367,162.0,,,,,,,,,,
9,meditation,custom,BVP,3,59.974999999999994,109.04543559816591,109.0,,,,,,,,,,
9,meditation,custom,BVP,4,59.97500000000002,156.0650270946227,156.0,,,,,,,,,,
9,meditation,custom,BVP,5,1.1499999999999773,156.52173913043788,3.0,,,,,,,,,,
9,meditation,custom,HR,0,59.975,,,71.31564208984375,13.767317176110845,,,,,,,,
9,meditation,custom,HR,1,59.974999999999994,,,77.43758455435434,8.761219646198263,,,,,,,,
9,meditation,custom,HR,2,59.974999999999994,,,86.4373515701294,5.751704360201027,,,,,,,,
9,meditation,custom,HR,3,59.974999999999994,,,89.33037192980449,4.732076371441662,,,,,,,,
9,meditation,custom,HR,4,59.97500000000002,,,87.48086208025614,7.115589593753707,,,,,,,,
9,meditation,custom,HR,5,1.1499999999999773,,,80.00197633783868,3.9425415076862937,,,,,,,,
9,meditation,custom,MOTION,0,59.975,,,,,0.09539930826363464,0.3735866844654083,,,,,,
9,meditation,custom,MOTION,1,59.974999999999994,,,,,0.0017481940953681851,0.0,,,,,,
9,meditation,custom,MOTION,2,59.974999999999994,,,,,0.000622644467900196,0.0,,,,,,
9,meditation,custom,MOTION,3,59.974999999999994,,,,,0.002086457678427297,0.0,,,,,,
9,meditation,custom,MOTION,4,59.97500000000002,,,,,0.01377301525014142,0.0718435943126678,,,,,,
